3MA	[np] - 3MA [np]
exctinction	[n] - extinción [n]
excursion	[n] - excursión [n]
excuse	[n] - disculpa [n]
excuse	[n] - excusa [n]
excuser	[vblex] - disculpar [vblex]
excuser	[vblex] - excusar [vblex]
excès	[n.m.sp] - desmán [n.m.pl]
excès	[n.m.sp] - desmán [n.m.sg]
excès	[n.m.sp] - exceso [n.m.ND]
excès	[n.m.sp] - exceso [n.m.pl]
excès	[n.m.sp] - exceso [n.m.sg]
excédent	[n] - excedente [n]
excéder	[vblex] - exceder [vblex]
execution	[n] - ejecución [n]
exemplaire	[adj] - ejemplar [adj]
exemplaire	[n] - ejemplar [n]
exemplarité	[n] - ejemplaridad [n]
exemple	[n] - ejemplo [n]
exempt	[adj] - exento [adj]
exempter	[vblex] - eximir [vblex]
exemption	[n] - exención [n]
exemption d'impôts	[n] - exención fiscal [n]
exercer	[vblex] - ejercer [vblex]
exercer	[vblex] - ejercitar [vblex]
exercice	[n.m] - titularidad [n.f]
exercice	[n] - ejercicio [n]
exercice financier	[n] - ejercicio económico [n]
exhaustif	[adj] - exhaustivo [adj]
exhaustivité	[n] - exhaustividad [n]
exhiber	[vblex] - exhibir [vblex]
exhibition	[n] - exhibición [n]
exhortation	[n] - exhortación [n]
exhorter	[vblex] - exhortar [vblex]
exhumation	[n] - exhumación [n]
exigeant	[adj.f] - exigente [adj.mf]
exigeant	[adj.GD] - exigente [adj.mf]
exigeant	[adj.m] - exigente [adj.mf]
exigence	[n] - exigencia [n]
exiger	[vblex] - exigir [vblex]
exigible	[adj] - exigible [adj]
exil	[n] - exilio [n]
existant	[adj.f] - existente [adj.mf]
existant	[adj.GD] - existente [adj.mf]
existant	[adj.m] - existente [adj.mf]
existence	[n] - existencia [n]
existentiel	[adj.f] - existencial [adj.mf]
existentiel	[adj.GD] - existencial [adj.mf]
existentiel	[adj.m] - existencial [adj.mf]
exister	[vblex] - existir [vblex]
Exode	[np] - Éxodo [np]
exode	[n] - éxodo [n]
exonération	[n] - exoneración [n]
exonéré	[adj] - exento [adj]
exorbitant	[adj.f] - exorbitante [adj.mf]
exorbitant	[adj.GD] - exorbitante [adj.mf]
exorbitant	[adj.m] - exorbitante [adj.mf]
expansif	[adj] - expansivo [adj]
expansion	[n] - expansión [n]
expatriation	[n] - expatriación [n]
expectative	[n] - expectativa [n]
expedition	[n] - expedición [n]
expert	[adj] - experto [adj]
expert	[n] - experto [n]
expert	[n] - perito [n]
expertise	[n] - valoración [n]
expiration	[n] - caducidad [n]
expiration	[n] - expiración [n]
expirer	[vblex] - caducar [vblex]
expirer	[vblex] - expirar [vblex]
explicatif	[adj] - aclaratorio [adj]
explicatif	[adj] - explicativo [adj]
explicatif	[adj] - expositivo [adj]
explication	[n] - explicación [n]
explicite	[adj.mf] - explícito [adj.f]
explicite	[adj.mf] - explícito [adj.GD]
explicite	[adj.mf] - explícito [adj.m]
explicité	[n] - explicidad [n]
expliquer	[vblex] - explicar [vblex]
exploitation	[n.f] - aprovechamiento [n.m]
exploitation	[n] - explotación [n]
exploiter	[vblex] - explotar [vblex]
explorateur	[n] - explorador [n]
exploration	[n] - exploración [n]
Explorer	[np] - Explorer [np]
exploser	[vblex] - explotar [vblex]
explosif	[adj] - explosivo [adj]
explosif	[n] - explosivo [n]
explosion	[n] - explosión [n]
expo	[n] - expo [n]
exportateur	[n.mf] - exportador [n.f]
exportateur	[n.mf] - exportador [n.GD]
exportateur	[n.mf] - exportador [n.m]
exportation	[n] - exportación [n]
exposant	[adj.f] - exponente [adj.mf]
exposant	[adj.GD] - exponente [adj.mf]
exposant	[adj.m] - exponente [adj.mf]
exposant	[n] - expositor [n]
exposer	[vblex] - exponer [vblex]
exposition	[n] - exposición [n]
exposé	[n.m] - exposición [n.f]
exposé	[n.m] - ponencia [n.f]
exposé	[n] - planteamiento [n]
Express	[np] - Express [np]
expression	[n] - expresión [n]
expressionnisme	[n] - expresionismo [n]
expressivité	[n] - expresividad [n]
expressément	[adv] - expresamente [adv]
exprimer	[vblex] - expresar [vblex]
expropriation	[n] - expropiación [n]
exproprier	[vblex] - expropiar [vblex]
exprès	[adv] - adrede [adv]
expulser	[vblex] - expulsar [vblex]
expulsion	[n] - expulsión [n]
expédier	[vblex] - expedir [vblex]
expédier	[vblex] - remitir [vblex]
expédier un certificat	[vblex] - expedir una certificación [vblex]
expéditeur	[n.f] - remitente [n.mf]
expéditeur	[n.GD] - remitente [n.mf]
expéditeur	[n.m] - remitente [n.mf]
expéditeur	[n] - expedidor [n]
expédition	[n] - expedición [n]
expérience	[n.f] - experiencia [n.f]
expérience	[n.f] - experimento [n.m]
expérience	[n] - veteranía [n]
expérience	[n] - vivencia [n]
expérimental	[adj.f] - experimental [adj.mf]
expérimental	[adj.GD] - experimental [adj.mf]
expérimental	[adj.m] - experimental [adj.mf]
expérimentation	[n] - experimentación [n]
Expósito	[np] - Expósito [np]
exquis	[adj.f] - exquisito [adj.f]
exquis	[adj.m.sp] - exquisito [adj.m.ND]
exquis	[adj.m.sp] - exquisito [adj.m.pl]
exquis	[adj.m.sp] - exquisito [adj.m.sg]
exquisément	[adv] - exquisitamente [adv]
extensible	[adj] - extensible [adj]
extension	[n] - extensión [n]
extension téléphonique	[n] - extensión telefónica [n]
extermination	[n.f] - exterminio [n.m]
externalisation	[n] - externalización [n]
externe	[adj.mf] - externo [adj.f]
externe	[adj.mf] - externo [adj.GD]
externe	[adj.mf] - externo [adj.m]
extinction	[n] - extinción [n]
extracontractuel	[adj.f] - extracontractual [adj.mf]
extracontractuel	[adj.GD] - extracontractual [adj.mf]
extracontractuel	[adj.m] - extracontractual [adj.mf]
extraction	[n] - extracción [n]
extrader	[vblex] - extraditar [vblex]
extradition	[n] - extradición [n]
extraire	[vblex] - extraer [vblex]
extrajudiciaire	[adj] - extrajudicial [adj]
extraordinaire	[adj.mf] - extraordinario [adj.f]
extraordinaire	[adj.mf] - extraordinario [adj.GD]
extraordinaire	[adj.mf] - extraordinario [adj.m]
extraordinaire	[adj] - extraordinario [adj]
extrapoler	[vblex] - extrapolar [vblex]
extraterrestre	[adj] - alienígena [adj]
extrémiste	[adj] - extremista [adj]
extrémiste	[n] - extremista [n]
extrémité	[n] - extremidad [n]
extrême	[adj.mf] - extremo [adj.f]
extrême	[adj.mf] - extremo [adj.GD]
extrême	[adj.mf] - extremo [adj.m]
extrême	[n] - extremo [n]
Extrême-Orient	[np] - Extremo Oriente [np]
extrêmement	[adv] - extremadamente [adv]
extrêmement	[adv] - sumamente [adv]
extérieur	[adj.f] - exterior [adj.mf]
extérieur	[adj.GD] - exterior [adj.mf]
extérieur	[adj.m] - exterior [adj.mf]
extérieur	[n] - exterior [n]
exultation	[n] - exultación [n]
exécuter	[vblex] - ajusticiar [vblex]
exécuter	[vblex] - ejecutar [vblex]
exécuteur testamentaire	[n.f] - albacea [n.m]
exécuteur testamentaire	[n.GD] - albacea [n.m]
exécuteur testamentaire	[n.m] - albacea [n.m]
exécutif	[n] - ejecutivo [n]
exécution	[n.f] - fusilamiento [n.m]
exécution	[n] - ejecución [n]
Ezeizabarrena	[np] - Ezeizabarrena [np]
Ezenarro	[np] - Ezenarro [np]
Ezker Batua	[np] - Ezker Batua [np]
Ezker Batua-Berdeak	[np] - Ezker Batua-Berdeak [np]
Ezkurra	[np] - Ezkurra [np]
Ezquerro	[np] - Ezquerro [np]
f	[n.m.sp] - f [n.f.sg]
Fabia	[np] - Fabia [np]
Fabian	[np] - Fabian [np]
Fabien	[np] - Fabien [np]
Fabio	[np] - Fabio [np]
Fabiola	[np] - Fabiola [np]
Fabius	[np] - Fabius [np]
Fabra	[np] - Fabra [np]
fabricant	[n.f] - fabricante [n.mf]
fabricant	[n.GD] - fabricante [n.mf]
fabricant	[n.m] - fabricante [n.mf]
fabrication	[n] - fabricación [n]
Fabrice	[np] - Fabrice [np]
fabrique	[n] - fábrica [n]
fabriquer	[vblex] - fabricar [vblex]
fabuleux	[adj.f] - fabuloso [adj.f]
fabuleux	[adj.m.sp] - fabuloso [adj.m.ND]
fabuleux	[adj.m.sp] - fabuloso [adj.m.pl]
fabuleux	[adj.m.sp] - fabuloso [adj.m.sg]
face	[n] - cara [n]
face	[n] - faz [n]
face à	[pr] - frente a [pr]
face à face	[adv] - cara a cara [adv]
facette	[n] - faceta [n]
facial	[adj.f] - facial [adj.mf]
facial	[adj.GD] - facial [adj.mf]
facial	[adj.m] - facial [adj.mf]
facile	[adj] - fácil [adj]
facilement	[adv] - fácilmente [adv]
facilitation	[n] - facilitación [n]
faciliter	[vblex] - facilitar [vblex]
facilité	[n] - facilidad [n]
facteur	[n.f] - cartero [n.f]
facteur	[n.m] - cartero [n.m]
facteur	[n] - factor [n]
faction	[n] - facción [n]
facturation	[n] - facturación [n]
facture	[n] - factura [n]
facture de vente	[n] - factura de venta [n]
facturer	[vblex] - facturar [vblex]
facultatif	[adj] - facultativo [adj]
faculté	[n] - facultad [n]
fade	[adj.mf] - soso [adj.f]
fade	[adj.mf] - soso [adj.GD]
fade	[adj.mf] - soso [adj.m]
fado	[n] - fado [n]
Fadura	[np] - Fadura [np]
Fagatogo	[np] - Pago Pago [np]
Fagoaga	[np] - Fagoaga [np]
Fagor	[np] - Fagor [np]
faible	[adj] - débil [adj]
faible	[n.mf] - flojo [n.f]
faible	[n.mf] - flojo [n.GD]
faible	[n.mf] - flojo [n.m]
faiblesse	[n] - debilidad [n]
faiblir	[vblex] - amainar [vblex]
faillibilité	[n] - falibilidad [n]
faillir	[vblex] - fallar [vblex]
faim	[n.f] - hambre [n.m]
faim	[n.f] - hambruna [n.f]
faim	[n] - gana [n]
faire	[vblex] - hacer [vblex]
faire abstraction	[vblex] - hacer caso omiso [vblex]
faire abstraction de	[vblex] - prescindir de [vblex]
faire allusion à	[vblex] - aludir [vblex]
faire appel	[vblex] - apelar [vblex]
faire appel	[vblex] - recurrir [vblex]
faire concurrence	[vblex] - hacer la competencia [vblex]
faire connaître	[vblex] - dar a conocer [vblex]
faire d'une pierre deux coups	[vblex] - matar dos pájaros de un tiro [vblex]
faire de la publicité	[vblex] - publicitar [vblex]
faire des pronostics	[vblex] - hacer cábalas [vblex]
faire des reproches à	[vblex] - reconvenir [vblex]
faire des études de gestion	[vblex] - estudiar empresariales [vblex]
faire descendre	[vblex] - apear [vblex]
faire exploser	[vblex] - hacer estallar [vblex]
faire face à	[vblex] - enfrentar [vblex]
faire faillite	[vblex] - quebrar [vblex]
faire irruption	[vblex] - irrumpir [vblex]
faire l'idiot	[vblex] - hacer el tonto [vblex]
faire l'innocent	[vblex] - hacer el tonto [vblex]
faire la fine bouche	[vblex] - tener el paladar delicado [vblex]
faire la sourde oreille	[vblex] - desoír [vblex]
faire le pied de grue	[vblex] - estar de plantón [vblex]
faire les quatre volontés	[vblex] - hacer la santa voluntad [vblex]
faire match nul	[vblex] - empatar [vblex]
faire mouche	[vblex] - dar en el blanco [vblex]
faire partie	[vblex] - formar parte [vblex]
faire peau neuve	[vblex] - cambiar de traje [vblex]
faire peur	[vblex] - asustar [vblex]
faire peur	[vblex] - dar un susto [vblex]
faire peur	[vblex] - pegar un susto [vblex]
faire prendre conscience	[vblex] - concienciar [vblex]
faire remarquer	[vblex] - hacer constar [vblex]
faire sauter	[vblex] - explosionar [vblex]
faire scandale	[vblex] - escandalizar [vblex]
faire semblant de	[vblex] - aparentar [vblex]
faire taire	[vblex] - acallar [vblex]
faire un bras de fer	[vblex] - echar pulso [vblex]
faire un coup de filet	[vblex] - hacer una redada [vblex]
faire un dépôt	[vblex] - hacer un ingreso [vblex]
faire un remboursement	[vblex] - hacer un reintegro [vblex]
faire un tour	[vblex] - dar una vuelta [vblex]
faire une peur bleue	[vblex] - dar un susto de muerte [vblex]
faire une peur bleue	[vblex] - pegar un susto de muerte [vblex]
faire état	[vblex] - dejar constancia [vblex]
faire état	[vblex] - quedar constancia [vblex]
faire-part	[n.m.sp] - notificación [n.f.ND]
faire-part	[n.m.sp] - notificación [n.f.pl]
faire-part	[n.m.sp] - notificación [n.f.sg]
faisabilité	[n] - viabilidad [n]
faisable	[adj] - dable [adj]
faisable	[adj] - factible [adj]
faisceau	[n] - puñado [n]
fait	[n] - hecho [n]
Fajardo	[np] - Fajardo [np]
falaise	[n.f] - acantilado [n.m]
Falcó	[np] - Falcó [np]
falloir	[vbmod] - haber que [vbmod]
falloir	[vbmod] - hacer falta [vbmod]
falloir	[vbmod] - ser preciso [vbmod]
falsification	[n] - falsificación [n]
fameux	[adj.f] - famoso [adj.f]
fameux	[adj.m.sp] - famoso [adj.m.ND]
fameux	[adj.m.sp] - famoso [adj.m.pl]
fameux	[adj.m.sp] - famoso [adj.m.sg]
familial	[adj.f] - familiar [adj.mf]
familial	[adj.m] - familiar [adj.mf]
familiariser	[vblex] - familiarizar [vblex]
familiarité	[n] - familiaridad [n]
familier	[adj.f] - coloquial [adj.mf]
familier	[adj.f] - familiar [adj.mf]
familier	[adj.GD] - coloquial [adj.mf]
familier	[adj.GD] - familiar [adj.mf]
familier	[adj.m] - coloquial [adj.mf]
familier	[adj.m] - familiar [adj.mf]
famille	[n] - familia [n]
fan	[n] - fan [n]
Fan Kouan	[np] - Fan Kuan [np]
fanal	[n.m] - farol [n.m]
fanal	[n.m] - farola [n.f]
fanatique	[adj.mf] - fanático [adj.f]
fanatique	[adj.mf] - fanático [adj.GD]
fanatique	[adj.mf] - fanático [adj.m]
fanatisme	[n] - fanatismo [n]
fandango	[n] - fandango [n]
Fanny Hess	[np] - Fanny Hess [np]
fantaisie	[n] - fantasía [n]
fantasque	[adj.mf] - caprichoso [adj.GD]
fantastique	[adj.mf] - fantástico [adj.f]
fantastique	[adj.mf] - fantástico [adj.GD]
fantastique	[adj.mf] - fantástico [adj.m]
fantôme	[n] - fantasma [n]
FARC	[n.acr] - FARC [n.acr]
farce	[n] - relleno [n]
farcir	[vblex] - llenar [vblex]
farcs	[n] - farcs [n]
farine	[n] - harina [n]
Farrell	[np] - Farrell [np]
farse	[n] - farsa [n]
fascinant	[adj.f] - fascinante [adj.mf]
fascinant	[adj.GD] - fascinante [adj.mf]
fascinant	[adj.m] - fascinante [adj.mf]
fascination	[n] - fascinación [n]
fasciner	[vblex] - fascinar [vblex]
fasciste	[adj] - fascista [adj]
Fassa	[np] - Fassa [np]
Fassa Bortolo	[np] - Fassa Bortolo [np]
fast-food	[n.m] - comida rápida [n.f]
fast-food	[n] - fast food [n]
Fatah	[np] - Fatah [np]
fatal	[adj.f] - fatal [adj.mf]
fatal	[adj.GD] - fatal [adj.mf]
fatal	[adj.m] - fatal [adj.mf]
fatalité	[n] - fatalidad [n]
fatigant	[adj.f] - fatigante [adj.mf]
fatigant	[adj.GD] - fatigante [adj.mf]
fatigant	[adj.m] - fatigante [adj.mf]
fatigue	[n.f] - cansancio [n.m]
fatigue	[n] - fatiga [n]
fatiguer	[vblex] - cansar [vblex]
faucon hobereau	[n] - alcotán [n]
faune	[n] - fauna [n]
Faure	[np] - Faure [np]
fausser	[vblex] - torcer [vblex]
fausseté	[n] - falsedad [n]
faute	[n.f] - fallo [n.m]
faute	[n] - falta [n]
faute de	[pr] - a falta de [pr]
faute de	[pr] - por falta de [pr]
fauteuil	[n.m] - butaca [n.f]
fauteuil	[n.m] - sillón [n.m]
fauteur	[n] - alborotador [n]
faux	[adj.f] - falso [adj.f]
faux	[adj.m.sp] - falso [adj.m.ND]
faux	[adj.m.sp] - falso [adj.m.pl]
faux	[adj.m.sp] - falso [adj.m.sg]
faux billet	[n] - billete falso [n]
faux-départ	[n.m] - salida nula [n.f]
faveur	[n.f] - favor [n.m]
favorable	[adj.mf] - favorecedor [adj.f]
favorable	[adj.mf] - favorecedor [adj.GD]
favorable	[adj.mf] - favorecedor [adj.m]
favorable	[adj] - favorable [adj]
favorablement	[adv] - favorablemente [adv]
favori	[adj] - favorito [adj]
favoriser	[vblex] - favorecer [vblex]
favoriser	[vblex] - propiciar [vblex]
fax	[n] - burofax [n]
fax	[n] - fax [n]
Fayoum	[np] - Fayum [np]
Faysal I	[np] - Faisal I [np]
Faysal Ier	[np] - Faisal I [np]
Faysal IIème	[np] - Faisal II [np]
façade	[n] - fachada [n]
façon	[n.f] - modo [n.m]
façon	[n] - manera [n]
faïence	[n] - loza [n]
FBI	[n.acr] - FBI [n.acr]
FCR	[n] - FCR [n]
FDJ	[n] - FDJ [n]
federation	[n] - federación [n]
Federico	[np] - Federico [np]
FedEx	[np] - FedEx [np]
feed-back	[n] - feedback [n]
Fegatello	[np] - Fegatello [np]
feignant	[adj] - zángano [adj]
Fein	[np] - Fein [np]
feindre	[vblex] - fingir [vblex]
Feleti Sevele	[np] - Feleti Sevele [np]
Felip	[np] - Felip [np]
Felipe	[np] - Felipe [np]
Felipe Calderón	[np] - Felipe Calderón [np]
Felipe de Bourbón et de Grèce	[np] - Felipe de Borbón y Grecia [np]
Feliu	[np] - Feliu [np]
Felix	[np] - Félix [np]
Fellowship	[np] - Fellowship [np]
femelle	[n] - hembra [n]
femme	[n] - fémina [n]
femme	[n] - mujer [n]
femme au foyer	[n.f.ND] - sus labores [n.f.pl]
femme au foyer	[n.f.pl] - sus labores [n.f.pl]
femme au foyer	[n.f.sg] - sus labores [n.f.pl]
fendre en quatre	[vblex] - deshacer en atenciones [vblex]
Fenoglio	[np] - Fenoglio [np]
fente	[n] - grieta [n]
fenêtre	[n] - ventana [n]
FER	[n.acr] - FER [n.acr]
fer	[n] - hierro [n]
fer à repasser	[n.m] - plancha [n.f]
Ferdinand	[np] - Ferdinand [np]
Ferenc	[np] - Ferenc [np]
Ferenczi	[np] - Ferenczi [np]
ferme	[adj.mf.ND] - en firme [adj.mf.sp]
ferme	[adj.mf.pl] - en firme [adj.mf.sp]
ferme	[adj.mf.sg] - en firme [adj.mf.sp]
ferme	[adj] - firme [adj]
ferme	[n] - granja [n]
ferme	[n] - hacienda [n]
ferme basque	[n] - baserri [n]
fermentation	[n] - fermentación [n]
fermer	[vblex] - cerrar [vblex]
fermes basques	[n] - baserris [n]
fermeture	[n.f] - cierre [n.m]
fermeture	[n] - clausura [n]
fermeté	[n] - firmeza [n]
fermoir	[n] - broche [n]
fermé	[adj] - cerrado [adj]
Fermín	[np] - Fermín [np]
Fernand de Magellan	[np] - Fernando de Magallanes [np]
Fernanda	[np] - Fernanda [np]
Fernandez	[np] - Fernandez [np]
Fernando	[np] - Fernando [np]
Fernando Alvarez de Tolède	[np] - Fernando Álvarez de Toledo [np]
Fernández	[np] - Fernández [np]
Ferran Adrià	[np] - Ferran Adrià [np]
Ferrandis	[np] - Ferrandis [np]
Ferrando	[np] - Ferrando [np]
Ferrari	[np.al] - Ferrari [np.al]
Ferrari	[np.ant] - Ferrari [np.ant]
Ferraz	[np] - Ferraz [np]
Ferreira	[np] - Ferreira [np]
Ferrer	[np] - Ferrer [np]
Ferrero	[np] - Ferrero [np]
Ferrol	[np] - Ferrol [np]
ferroviaire	[adj.mf] - ferroviario [adj.f]
ferroviaire	[adj.mf] - ferroviario [adj.GD]
ferroviaire	[adj.mf] - ferroviario [adj.m]
Ferrán	[np] - Ferrán [np]
fertilisation	[n] - fertilización [n]
fertilité	[n] - fertilidad [n]
fesse	[n] - nalga [n]
festif	[adj] - festivo [adj]
festival	[n] - festival [n]
Festival International de cinéma de Donostia-San Sebastián	[np] - Festival Internacional de cine de Donostia-San Sebastián [np]
Festival International de cinéma de Donostia-San Sebastián	[np] - Zinemaldia [np]
festivité	[n] - festividad [n]
feu	[n] - fuego [n]
feuille	[n.f] - hoja [n.f]
feuille	[n] - hoja [n]
feuille d'inscription	[n] - hoja de inscripción [n]
feuille de paie	[n] - nómina [n]
feuille de remboursement	[n] - hoja de reintegro [n]
feuille de route	[n] - hoja de ruta [n]
feuiller	[vblex] - brotar [vblex]
feuillet	[n] - folio [n]
feuilleton	[n.m] - telenovela [n.f]
FFII	[n] - FFII [n]
FIA	[n.acr] - FIA [n.acr]
fiabilité	[n] - fiabilidad [n]
fiable	[adj] - fiable [adj]
fiancé	[n] - novio [n]
Fiat	[np] - Fiat [np]
fibre	[n] - fibra [n]
fichage	[n] - fichaje [n]
fiche	[n] - ficha [n]
fiche d'état civil	[n] - fe de vida [n]
fiche de signature	[n] - ficha de firma [n]
ficher	[vblex] - clavar [vblex]
ficher	[vblex] - fichar [vblex]
fichier	[n] - fichero [n]
Ficoba	[np] - Ficoba [np]
fictif	[adj] - ficticio [adj]
fiction	[n] - ficción [n]
Fidel	[np] - Fidel [np]
Fidel Castro	[np] - Fidel Castro [np]
Fideliza	[np] - Fideliza [np]
Fidji	[np] - Fiji [np]
Fidji	[np] - Fiyi [np]
fidèle	[adj] - fiel [adj]
fidèle	[n] - fiel [n]
fidèlement	[adv] - fielmente [adv]
fidélisation	[n] - fidelización [n]
fidéliser	[vblex] - fidelizar [vblex]
fidélité	[n] - fidelidad [n]
fief	[n] - feudo [n]
fier	[adj] - orgulloso [adj]
Figaro	[np] - Figaro [np]
Figueras	[np] - Figueras [np]
Figueras	[np] - Figueres [np]
Figueroa	[np] - Figueroa [np]
figuration	[n] - figuración [n]
figure	[n] - figura [n]
figurer	[vblex] - constar [vblex]
figurer	[vblex] - figurar [vblex]
fil	[n] - filo [n]
fil	[n] - hilo [n]
fil de fer	[n] - alambre [n]
file	[n] - fila [n]
filer à l'anglaise	[vblex] - despedir a la francesa [vblex]
filet	[n.m] - red [n.f]
filial	[adj.f] - filial [adj.mf]
filial	[adj.GD] - filial [adj.mf]
filial	[adj.m] - filial [adj.mf]
filiale	[n] - filial [n]
filiation	[n] - afiliación [n]
filiation	[n] - filiación [n]
Filiatreau	[np] - Filiatreau [np]
Filipacchi	[np] - Filipacchi [np]
Filippo	[np] - Filippo [np]
fille	[n.f] - chico [n.f]
fille	[n.f] - chiquillo [n.f]
fille	[n.f] - muchacho [n.f]
fille	[n] - hija [n]
Fillon	[np] - Fillon [np]
film	[n.m] - película [n.f]
film	[n] - film [n]
film policier	[n.m] - película policíaca [n.f]
filmage	[n] - filmación [n]
filmer	[vblex] - filmar [vblex]
fils	[n.f] - hijo [n.f]
fils	[n.m.sp] - hijo [n.m.ND]
fils	[n.m.sp] - hijo [n.m.pl]
fils	[n.m.sp] - hijo [n.m.sg]
filtration	[n] - filtración [n]
filtre	[n] - filtro [n]
filtrer	[vblex] - filtrar [vblex]
fin	[adj] - fino [adj]
fin	[n.f] - fin [n.m]
fin	[n.f] - final [n.m]
final	[adj.f] - final [adj.mf]
final	[adj.GD] - final [adj.mf]
final	[adj.m] - final [adj.mf]
finalement	[adv] - finalmente [adv]
finalement	[adv] - por último [adv]
finalisation	[n] - finalización [n]
finaliste	[adj] - finalista [adj]
finalité	[n] - finalidad [n]
finance	[n] - finanza [n]
financement	[n.m] - financiación [n.f]
financer	[vblex] - financiar [vblex]
finances des territoires historiques	[n.f.pl] - hacienda foral [n.f.ND]
finances des territoires historiques	[n.f.pl] - hacienda foral [n.f.pl]
finances des territoires historiques	[n.f.pl] - hacienda foral [n.f.sg]
financier	[adj] - financiero [adj]
Finar	[np] - Finar [np]
Finarbi	[np] - Finarbi [np]
finir	[vblex] - acabar [vblex]
Finistère	[np] - Finisterre [np]
Finistère	[np] - Finistère [np]
finlandais	[adj.f] - finlandés [adj.f]
finlandais	[adj.f] - finés [adj.f]
finlandais	[adj.m.sp] - finlandés [adj.m.ND]
finlandais	[adj.m.sp] - finlandés [adj.m.pl]
finlandais	[adj.m.sp] - finlandés [adj.m.sg]
finlandais	[adj.m.sp] - finés [adj.m.pl]
finlandais	[adj.m.sp] - finés [adj.m.sg]
Finlande	[np] - Finlandia [np]
Finul	[np] - Finul [np]
Firefox	[np] - Firefox [np]
firmament	[n] - firmamento [n]
firme	[n] - firma [n]
fisc	[np.m.ND] - hacienda [np.f.sg]
fisc	[np.m.pl] - hacienda [np.f.sg]
fisc	[np.m.sg] - hacienda [np.f.sg]
fisc	[n] - fisco [n]
fiscal	[adj.f] - fiscal [adj.mf]
fiscal	[adj.GD] - fiscal [adj.mf]
fiscal	[adj.m] - fiscal [adj.mf]
fiscal	[adj] - impositivo [adj]
fiscalement	[adv] - fiscalmente [adv]
fiscalité	[n] - fiscalidad [n]
fissure	[n] - fisura [n]
Fito	[np] - Fito [np]
Fito y Fitipaldis	[np] - Fito y Fitipaldis [np]
FITUR	[n.acr] - FITUR [n.acr]
Fiumicino	[np] - Fiumicino [np]
fixation	[n] - fijación [n]
fixe	[adj.mf] - fijo [adj.f]
fixe	[adj.mf] - fijo [adj.GD]
fixe	[adj.mf] - fijo [adj.m]
fixer	[vblex] - fijar [vblex]
fièvre	[n] - fiebre [n]
flacon	[n] - frasco [n]
flair	[n] - olfato [n]
flamand	[adj] - flamenco [adj]
flamme	[n] - llama [n]
Flandre	[np] - Flandes [np]
flaque	[n.f] - charco [n.m]
flash	[n] - flash [n]
flash	[n] - fogonazo [n]
flash d'information	[n] - avance informativo [n]
flatterie	[n.f] - halago [n.m]
Flaviobriga	[np] - Flaviobriga [np]
Flaño	[np] - Flaño [np]
flemmard	[adj] - gandul [adj]
fleur	[n] - flor [n]
fleuron	[n] - florón [n]
fleuve	[n] - río [n]
fleuve Jaune	[np] - Río Amarillo [np]
fleuve Noire	[np] - Río Negro [np]
flexibilité	[n] - flexibilidad [n]
FLN	[n.acr] - FLN [n.acr]
flore	[n] - flora [n]
Floren	[np] - Floren [np]
Florence	[np.ant] - Florence [np.ant]
Florence	[np.loc] - Florencia [np.loc]
Florence	[np] - Florencia [np]
Florent	[np] - Florent [np]
Florentino	[np] - Florentino [np]
Florian	[np] - Florian [np]
Floride	[np.loc] - Florida [np.loc]
Floride	[np] - Florida [np]
florissant	[adj.f] - floreciente [adj.mf]
florissant	[adj.GD] - floreciente [adj.mf]
florissant	[adj.m] - floreciente [adj.mf]
Florès	[np] - Isla Flores [np]
flot	[n.m] - oleada [n.f]
flottant	[adj.f] - flotante [adj.mf]
flottant	[adj.GD] - flotante [adj.mf]
flottant	[adj.m] - flotante [adj.mf]
flotte	[n] - flota [n]
fluctuation	[n] - fluctuación [n]
fluctuation de la bourse	[n] - fluctuación de bolsa [n]
fluide	[adj.mf] - fluido [adj.f]
fluide	[adj.mf] - fluido [adj.GD]
fluide	[adj.mf] - fluido [adj.m]
fluide	[n] - fluido [n]
fluidité	[n] - fluidez [n]
fluorescent	[adj.f] - fluorescente [adj.mf]
fluorescent	[adj.GD] - fluorescente [adj.mf]
fluorescent	[adj.m] - fluorescente [adj.mf]
flux	[n.m.sp] - flujo [n.m.ND]
flux	[n.m.sp] - flujo [n.m.pl]
flux	[n.m.sp] - flujo [n.m.sg]
flèche	[n] - flecha [n]
flécher	[vblex] - señalar [vblex]
flûter	[vblex] - silbar [vblex]
FMI	[np] - FMI [np]
Fnac	[np] - Fnac [np]
focalisation	[n] - focalización [n]
focaliser	[vblex] - focalizar [vblex]
Focus	[np] - Focus [np]
foetus	[n.m.sp] - feto [n.m.ND]
foetus	[n.m.sp] - feto [n.m.pl]
foetus	[n.m.sp] - feto [n.m.sg]
Fofonov	[np] - Fofonov [np]
foi	[n] - fe [n]
foie	[n] - hígado [n]
foire	[n] - feria [n]
fois	[n.f.sp] - vez [n.f.ND]
fois	[n.f.sp] - vez [n.f.pl]
fois	[n.f.sp] - vez [n.f.sg]
foisonner	[vblex] - abundar [vblex]
Foix	[np] - Foix [np]
folie	[n] - locura [n]
folk	[adj] - folk [adj]
folk	[n] - folk [n]
folklore	[n] - folclore [n]
Following	[np] - Following [np]
fomenter	[vblex] - fomentar [vblex]
foncer	[vblex] - arremeter [vblex]
foncer	[vblex] - oscurecer [vblex]
foncer sur	[vblex] - arremeter contra [vblex]
Foncillas	[np] - Foncillas [np]
fonction	[n] - concejalía [n]
